driverId,eventType,longitude,latitude
14,Normal,-94.58,37.03
18,Normal,-89.66,39.78
27,Normal,-90.21,38.65
11,Normal,-90.2,38.65
22,Normal,-90.04,35.19
22,Normal,-90.37,35.21
23,Normal,-89.91,40.86
11,Normal,-89.74,39.1
20,Normal,-93.36,41.69
32,Normal,-90.37,35.21
27,Normal,-90.41,38.75
17,Normal,-90.55,38.81
14,Normal,-94.31,37.31
28,Normal,-89.96,39.74
15,Normal,-90.68,35.12
16,Normal,-90.29,40.96
31,Normal,-94.31,37.31
25,Normal,-90.24,38.0
14,Normal,-94.3,37.66
22,Normal,-90.94,35.03
32,Normal,-90.94,35.03
24,Normal,-89.17,40.38
25,Normal,-90.0,37.72
29,Normal,-97.37,36.91
22,Normal,-91.14,34.96
18,Normal,-90.24,39.72
19,Normal,-97.37,36.91
26,Normal,-90.86,38.46
16,Normal,-90.7,41.62
21,Normal,-94.35,38.33
13,Normal,-92.19,41.74
19,Normal,-97.37,36.79
27,Normal,-90.93,38.82
25,Normal,-89.56,37.2
23,Normal,-91.32,41.71
22,Normal,-91.74,34.89
10,Normal,-91.18,38.22
28,Normal,-90.37,39.71
26,Normal,-91.18,38.22
25,Normal,-89.54,36.84
23,Normal,-91.47,41.74
13,Normal,-91.59,41.7
27,Normal,-91.19,38.83
28,Normal,-90.52,39.71
25,Normal,-89.65,36.37
24,Normal,-87.67,41.87
30,Normal,-91.59,41.7
11,Normal,-87.67,41.87
23,Normal,-91.63,41.72
13,Normal,-91.24,41.67
16,Normal,-91.63,41.72
15,Normal,-92.09,34.8
12,Normal,-90.07,35.68
17,Normal,-91.56,38.93
27,Normal,-91.56,38.93
13,Normal,-90.82,41.66
16,Normal,-91.78,42.23
23,Normal,-91.78,42.23
11,Normal,-88.42,41.11
22,Normal,-92.31,34.78
21,Normal,-94.38,38.99
13,Normal,-90.64,41.56
16,Normal,-91.78,42.23
17,Normal,-92.03,38.97
23,Normal,-91.63,41.72
32,Normal,-92.09,34.8
13,Normal,-90.2,41.59
24,Normal,-88.77,40.76
16,Normal,-91.63,41.72
29,Normal,-96.21,36.19
11,Normal,-89.17,40.38
19,Normal,-96.21,36.19
32,Normal,-91.93,34.81
30,Normal,-89.88,41.77
29,Normal,-95.99,36.17
26,Normal,-92.08,37.81
28,Normal,-91.59,39.68
19,Normal,-95.99,36.17
21,Normal,-94.37,38.0
29,Normal,-95.76,36.08
30,Normal,-89.6,41.76
15,Normal,-91.74,34.89
32,Normal,-91.38,34.83
19,Normal,-95.76,36.08
14,Normal,-94.3,37.66
26,Normal,-92.48,37.8
16,Normal,-91.05,41.72
15,Normal,-91.38,34.83
10,Normal,-92.61,37.7
31,Normal,-94.31,37.31
29,Normal,-95.42,35.87
15,Normal,-91.14,34.96
12,Normal,-89.65,36.37
20,Normal,-88.96,42.25
31,Normal,-94.46,37.16
27,Normal,-92.85,38.93
14,Normal,-94.46,37.16
26,Normal,-92.74,37.6
18,Normal,-92.42,39.76
31,Normal,-94.58,37.03
19,Normal,-95.3,35.64
21,Normal,-94.58,37.03
26,Normal,-92.89,37.51
23,Normal,-89.91,40.86
12,Normal,-89.56,37.2
11,Normal,-89.63,39.84
28,Normal,-92.57,39.77
32,Normal,-90.37,35.21
25,Normal,-89.56,37.2
22,Normal,-90.04,35.19
21,Normal,-94.46,37.16
28,Normal,-92.74,39.76
32,Normal,-90.04,35.19
16,Normal,-89.52,40.7
15,Normal,-90.04,35.19
11,Normal,-88.77,40.76
10,Normal,-93.34,37.21
32,Normal,-90.04,35.19
13,Normal,-87.66,41.89
20,Normal,-87.66,41.89
23,Normal,-89.91,40.86
30,Normal,-87.66,41.89
31,Normal,-94.3,37.66
32,Normal,-90.37,35.21
13,Normal,-87.66,41.89
23,Normal,-90.29,40.96
26,Normal,-93.69,37.16
16,Normal,-89.91,40.86
32,Normal,-90.68,35.12
17,Normal,-94.0,39.03
20,Normal,-88.41,42.11
23,Normal,-90.44,41.54
15,Normal,-90.68,35.12
